Grid ID,Latitude,Longitude,Area Sq Km,Road Density,Waterhole Count 10km,Distance to Water km,Distance to Gate km,Patrol Proxy,Response Time Min,Vegetation Proxy,Normalized Road Density,Normalized Waterhole Count 10km,Normalized Distance to Gate km,Normalized Response Time Min,DVI,pos_y,pos_x,Staff,Drones,Cameras,Is_Covered
86ac81047ffffff,-19.06319794,14.45340657,39.06,304.9531,1,9.497,153.88,0.0065,1.93,0.5309,0.28825874,0.5,0.903067338,0.130111524,0.0302861268484476,-2116.0149713399996,1517.60768985,0.0,0.0,0.0,1.0
86ac83917ffffff,-18.72702859,15.47003457,39.6,215.8027,0,118.388,80.03,0.0124,5.58,0.0004,0.203935508,0.0,0.460639827,0.401486989,0.2720019877914785,-2078.70017349,1624.3536298499998,0.0,0.0,0.0,1.0
86ac8172fffffff,-18.83971565,14.59954057,39.17,292.3945,0,35.858,146.19,0.0068,3.72,0.0916,0.276380142,0.0,0.856997364,0.263197026,0.1817261901981972,-2091.20843715,1532.95175985,0.0,0.0,0.0,1.0
86ac8015fffffff,-19.30121763,15.685707,39.59,54.6896,0,121.296,21.7,0.0451,6.45,0.0003,0.051546092,0.0,0.11119099,0.466171004,0.381845367022791,-2142.43515693,1646.999235,4.0,1.0,0.0,1.0
86ac83d77ffffff,-18.52874754,15.67374065,39.73,374.5931,0,148.162,91.54,0.0109,2.72,0.0001,0.354127989,0.0,0.529595016,0.188847584,0.1372263259073863,-2056.69097694,1645.74276825,0.0,0.0,0.0,1.0
86ac866e7ffffff,-18.85405413,16.8690945,40.23,257.6982,0,252.414,115.71,0.0086,1.35,0.0,0.24356252,0.0,0.67439492,0.086988848,0.0195775233577478,-2092.80000843,1771.2549225,0.0,0.0,0.0,1.0
86ac866efffffff,-18.82691538,16.81077565,40.21,162.4207,0,247.189,111.75,0.0089,3.92,0.0,0.153443948,0.0,0.65067098,0.278066914,0.0530049858554963,-2089.78760718,1765.13144325,4.0,0.0,0.0,1.0
86ac82a4fffffff,-18.51478498,15.89364809,39.84,157.859,0,168.85,90.21,0.011,2.16,0.0,0.149129247,0.0,0.521627127,0.147211896,0.1027420132372613,-2055.14113278,1668.8330494499999,0.0,0.0,0.0,1.0
86ac81ba7ffffff,-19.40271591,14.42623543,38.98,124.6172,0,11.605,153.93,0.0065,5.06,0.4613,0.117687369,0.0,0.903366882,0.362825279,0.2679905295205704,-2153.7014660100003,1514.75472015,0.0,0.0,0.0,1.0
86ac8152fffffff,-19.03270562,15.00000076,39.32,38.2818,0,58.846,99.19,0.01,5.13,0.0198,0.036026715,0.0,0.575425353,0.36802974,0.3653329852831452,-2112.6303238200003,1575.0000798,0.0,0.0,0.0,1.0
86ac862efffffff,-19.06850146,16.44270838,39.99,247.366,0,203.571,64.92,0.0153,5.51,0.0,0.233789771,0.0,0.370117422,0.396282528,0.0939197546100066,-2116.60366206,1726.4843799,0.0,0.0,0.0,1.0
86ac8079fffffff,-18.76127772,15.91533798,39.8,273.3089,0,159.498,62.99,0.0158,3.19,0.0,0.258327958,0.0,0.358554996,0.223791822,0.161754181297877,-2082.50182692,1671.1104879,0.0,0.0,0.0,1.0
86ac8664fffffff,-18.89609785,16.70559459,40.15,414.0711,0,234.574,98.33,0.0101,4.42,0.0,0.3914684,0.0,0.570273185,0.315241636,0.0299747814201634,-2097.46686135,1754.08743195,0.0,0.0,0.0,1.0
86ac806dfffffff,-18.59033719,15.67909097,39.72,97.708,0,145.051,84.81,0.0117,5.02,0.0001,0.092235204,0.0,0.4892763,0.359851301,0.2437794068863307,-2063.52742809,1646.30455185,0.0,0.0,0.0,1.0
86ac867a7ffffff,-19.02430159,17.10854334,40.31,343.2698,0,273.533,132.55,0.0075,5.41,0.0,0.324500731,0.0,0.775281572,0.388847584,0.0136450154556837,-2111.69747649,1796.3970507000001,0.0,0.0,0.0,1.0
86ac81337ffffff,-19.06908701,14.34436679,39.0,247.6785,1,2.106,165.03,0.006,7.21,0.869,0.23408535,0.5,0.969865804,0.52267658,0.1242194805195134,-2116.6686581100003,1506.1585129500002,0.0,0.0,0.0,1.0
86ac86adfffffff,-19.40390413,16.52902009,39.96,9.0388,0,209.539,67.62,0.0147,5.19,0.0,0.008367116,0.0,0.386292835,0.372490706,0.1509279125268666,-2153.83335843,1735.5471094499999,0.0,0.0,0.0,1.0
86ac860efffffff,-19.25902352,16.85079835,40.14,309.5272,0,243.786,101.28,0.0098,1.72,0.0,0.292585169,0.0,0.587946322,0.114498141,0.0313939993259216,-2137.75161072,1769.33382675,0.0,0.0,0.0,1.0
86ac860f7ffffff,-19.25166072,16.96196962,40.19,177.5883,0,255.503,112.99,0.0088,6.39,0.0,0.167790278,0.0,0.658099688,0.461710037,0.0211799226977295,-2136.93433992,1781.0068101000002,0.0,0.0,0.0,1.0
86ac800d7ffffff,-19.04859284,15.77440531,39.68,402.9811,0,135.425,33.43,0.0295,2.33,0.0001,0.380978883,0.0,0.181464174,0.159851301,0.1687719285519969,-2114.3938052400003,1656.31255755,0.0,0.0,0.0,1.0
86ac81037ffffff,-19.11249231,14.67681962,39.15,219.8606,0,25.024,129.77,0.0077,4.91,0.1886,0.207773687,0.0,0.758626887,0.351672862,0.0944240506462534,-2121.48664641,1541.0660601,0.0,0.0,0.0,1.0
86ac82d5fffffff,-18.57977189,16.78797777,40.24,226.8,0,253.129,125.84,0.0079,4.74,0.0,0.214337344,0.0,0.735082674,0.339033457,0.0405004136756986,-2062.35467979,1762.7376658500002,0.0,0.0,0.0,1.0
86ac82c37ffffff,-18.53742204,16.95133259,40.33,107.1819,0,270.988,142.09,0.007,7.47,0.0,0.101196127,0.0,0.832434699,0.542007435,0.0268002760197972,-2057.65384644,1779.88992195,0.0,0.0,0.0,1.0
86ac80d87ffffff,-19.44520004,16.3654621,39.88,257.1403,0,192.458,51.54,0.0192,2.3,0.0,0.243034828,0.0,0.289959262,0.157620818,0.0938949258364598,-2158.4172044399998,1718.3735204999998,0.0,0.0,0.0,1.0
86ac86aefffffff,-19.49980234,16.48197818,39.92,117.4023,0,204.958,64.94,0.0153,7.71,0.0,0.110863129,0.0,0.370237239,0.559851301,0.1618388046265177,-2164.47805974,1730.6077088999998,0.0,0.0,0.0,1.0
86ac810dfffffff,-18.87341268,14.54750155,39.14,160.9229,0,29.406,149.98,0.0066,3.97,0.1408,0.152027248,0.0,0.879702852,0.281784387,0.1897484284955537,-2094.94880748,1527.48766275,0.0,0.0,0.0,1.0
86ac81c1fffffff,-19.21674835,15.01547067,39.29,245.6891,0,53.681,92.75,0.0107,2.69,0.0279,0.232203669,0.0,0.536843997,0.1866171,0.1412067201900153,-2133.05906685,1576.6244203499998,0.0,0.0,0.0,1.0
86ac817a7ffffff,-18.73842925,14.75570002,39.26,105.0181,0,55.487,136.13,0.0073,5.55,0.0247,0.099149488,0.0,0.796728972,0.399256506,0.2960663233603509,-2079.96564675,1549.3485021000001,0.0,0.0,0.0,1.0
86ac82c2fffffff,-18.54507041,16.84051247,40.27,108.9405,0,259.582,132.54,0.0075,5.35,0.0,0.102859505,0.0,0.775221663,0.384386617,0.0335300002816133,-2058.50281551,1768.25380935,0.0,0.0,0.0,1.0
86ac8020fffffff,-19.01356844,15.32904901,39.48,172.9163,0,92.046,68.59,0.0145,6.77,0.0022,0.163371249,0.0,0.392104002,0.489962825,0.1584682367247563,-2110.50609684,1609.55014605,0.0,0.0,0.0,1.0
